"","HH1","HH2","LN","MWM1","MWM2","MWM4","MWM5","MWM6D","MWM6M","MWM6Y","MWM7","MWM8","MWM9","MWM10H","MWM10M","MWM11H","MWM11M","MWB1M","MWB1Y","MWB2","MWB3","MWB4","MWB5","MWB7","MMT2","MMT3","MMT4","MMT6","MMT7","MMT8","MMT9","MMT10","MMT11","MMT12","MMT13","MMT14","MCM1","MCM3","MCM4","MCM5A","MCM5B","MCM6","MCM7A","MCM7B","MCM8","MCM9A","MCM9B","MCM10","MCM11A","MCM11B","MCM12M","MCM12Y","MDV1A","MDV1B","MDV1C","MDV1D","MDV1E","MDV1F","MMA1","MMA3","MMA4","MMA5","MMA6","MMA7","MMA8M","MMA8Y","MMA9","MSB1","MSB2","MSB3U","MSB3N","MSB4","MSB5","MSB8","MSB9","MSB10","MSB13","MSB14","MSB15","MHA1","MHA2","MHA3","MHA4","MHA5","MHA6","MHA7","MHA8A","MHA8B","MHA8C","MHA9","MHA10","MHA11","MHA12","MHA24","MHA25","MHA26","MHA27","MMC1","MMC2","MMC3","MMC4","MTA1","MTA2","MTA3","MTA4","MTA5","MTA6","MTA7","MTA8A","MTA8B","MTA8C","MTA8D","MTA8E","MTA8X","MTA9","MTA10","MTA11","MTA12A","MTA12B","MTA12C","MTA12X","MTA13","MTA14","MTA15","MTA16","MTA17","TNLN","TN4","TN5","TN6","TN8","TN9","TN10","TN11","TN12_1","TN12_2","TN12_3","TN12_4","HH6","HH7","MWDOI","MWDOB","MWAGE","MWDOM","MWAGEM","MWDOBLC","MMSTATUS","MCEB","MCSURV","MCDEAD","mwelevel","mnweight","wscore","windex5","wscoreu","windex5u","wscorer","windex5r"
"7425",576,16,1,576,16,1,814,20,3,2014,"Not at home",802,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"7426",576,16,3,576,16,3,814,20,3,2014,"Completed",802,29,11,50,12,18,8,1996,17,"Yes","Primary",17,"Cannot read at all",NA,"At least once a week","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Less than once a week","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","Yes","No","No","Yes","No, not in union",NA,NA,"No",NA,NA,NA,NA,NA,15,"No","Months ago",2,"Yes","Girlfriend","No",NA,NA,NA,NA,2,"Yes","DK","DK","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No",NA,NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,1160,"15-19",NA,NA,NA,"Never married/in union",0,0,0,"Primary",1.23130430998792,-1.21273831948278,1,NA,NA,-1.16004510683361,1
"7427",576,17,1,576,17,1,814,17,3,2014,"Completed",802,29,18,12,18,39,6,1959,54,"Yes","Secondary",22,NA,"Not at all","Almost every day","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","Yes",21,"Yes",2,1,"Yes",4,3,"No",NA,NA,10,"No",2,8,2003,"No","No","No","No","No","Yes","Yes, currently married","No (Only one)",NA,NA,NA,"More than once",7,1980,NA,18,"No","Days ago",4,"No","Wife","Yes","No","Girlfrend","No",NA,9,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"Yes",17,"Yes",10,30,"Yes","Yes",NA,NA,NA,NA,"Rolled tobacco",NA,10,"Yes","No",NA,NA,NA,NA,NA,"Yes",23,10,3,1,"Observed","Interceptor",8,NA,NA,NA,"Yes",1,2,90,NA,"Rural","Masvingo",1371,714,"50-54",967,21,NA,"Currently married/in union",10,10,0,"Secondary",1.23130430998792,-0.809878428451776,2,NA,NA,-0.425505408261602,3
"7428",576,17,3,576,17,3,814,18,3,2014,"Completed",802,29,8,26,8,53,2,1991,23,"Yes","Primary",17,"Able to read only parts of sentence","Not at all","Almost every day","Less than once a week","Yes","No",NA,"Yes","Yes","Not at all","Yes","Yes","Almost every day","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","Yes","No","No","No","No, not in union",NA,NA,"Yes, formerly married","Divorced","Only once",12,2009,NA,16,"No","Weeks ago",2,"Yes","Girlfriend","Yes","Yes","Girlfrend","Yes",3,8,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"Yes",20,"Yes",3,10,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",19,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,1094,"20-24",1320,18,NA,"Formerly married/in union",0,0,0,"Primary",1.23130430998792,-0.809878428451776,2,NA,NA,-0.425505408261602,3
"7429",576,19,2,576,19,2,814,18,3,2014,"Completed",802,29,7,22,7,49,7,1996,17,"Yes","Primary",17,"Able to read whole sentence","Not at all","Almost every day","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Less than once a week","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","No","No","No","No","No, not in union",NA,NA,"No",NA,NA,NA,NA,NA,15,"Yes","Weeks ago",1,"Yes","Girlfriend","No",NA,NA,NA,NA,3,"Yes","DK","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",NA,NA,"No","No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,2,"Observed","Interceptor",8,NA,NA,NA,"Yes",2,90,NA,NA,"Rural","Masvingo",1371,1159,"15-19",NA,NA,NA,"Never married/in union",0,0,0,"Primary",1.23130430998792,-0.984032700426565,1,NA,NA,-0.743043165902371,2
"7430",576,20,1,576,20,1,814,17,3,2014,"Completed",802,29,13,47,14,13,5,1968,45,"Yes","Secondary",22,NA,"Not at all","Less than once a week","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","Yes",22,"Yes",1,2,"Yes",3,0,"No",NA,NA,6,"Yes",NA,11,2013,"No","No","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"More than once",12,1991,NA,95,"No","Months ago",3,"Yes","Wife","No",NA,NA,NA,NA,3,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","DK","Yes","Yes","Yes","Yes","No",NA,NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"Dip",NA,30,"Yes",40,0,NA,1,"Observed","Interceptor",8,NA,NA,NA,"Yes",1,2,5,90,"Rural","Masvingo",1371,821,"45-49",1104,23,NA,"Currently married/in union",6,6,0,"Secondary",1.23130430998792,-0.974704790286633,2,NA,NA,-0.726035465570236,2
"7431",576,22,1,576,22,1,808,17,3,2014,"Completed",802,29,12,48,13,0,6,1986,27,"Yes","Secondary",24,NA,"Not at all","Almost every day","Less than once a week","No",NA,NA,"Yes","Yes","Less than once a week","Yes","Yes","Almost every day","Yes",24,"Yes",1,0,"No",NA,NA,"No",NA,NA,1,"Yes",NA,3,2011,"Yes","Yes","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"More than once",11,2007,NA,17,"No","Days ago",0,"No","Wife","No",NA,NA,NA,NA,1,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,1038,"25-29",1295,21,NA,"Currently married/in union",1,1,0,"Secondary",1.23130430998792,-0.818272589423653,2,NA,NA,-0.440810591545717,3
"7432",577,3,2,577,3,2,810,19,3,2014,"Completed",802,8,10,19,10,30,10,1994,19,"Yes","Secondary",24,NA,"Not at all","At least once a week","Not at all","No",NA,NA,"Missing",NA,NA,"Yes","Yes","At least once a week","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","Yes","No","Yes","Yes","Yes","No, not in union",NA,NA,"No",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No",NA,NA,"No","No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,1138,"15-19",NA,NA,NA,"Never married/in union",0,0,0,"Secondary",0.883890843367161,-0.923396676701149,2,NA,NA,-0.632484712252677,2
"7433",577,4,1,577,4,1,810,19,3,2014,"Completed",802,8,18,23,18,39,6,1975,38,"Yes","Primary",15,"Able to read only parts of sentence","Not at all","Not at all","Not at all","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","Yes",27,"Yes",4,1,"No",NA,NA,"No",NA,NA,5,"Yes",NA,6,2011,"No","No","Yes","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"More than once",6,1996,NA,15,"No","Months ago",1,"No","Wife","No",NA,NA,NA,NA,5,"Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Less than 12 months ago","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,906,"35-39",1158,21,NA,"Currently married/in union",5,5,0,"Primary",0.883890843367161,-1.17936297140762,1,NA,NA,-1.09919139897969,1
"7434",577,5,1,577,5,1,819,20,3,2014,"Completed",802,8,7,30,7,55,4,1979,34,"Yes","Primary",17,"Able to read whole sentence","Not at all","Almost every day","Not at all","No",NA,NA,"Yes","Yes","Almost every day","Yes","Yes","Almost every day","Yes",22,"Yes",2,2,"No",NA,NA,"No",NA,NA,4,"Yes",NA,1,2013,"No","No","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"Only once",1,2004,NA,19,"No","Days ago",0,"No","Wife","No",NA,NA,NA,NA,5,"Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","12-23 months ago","Yes",NA,"No",NA,NA,NA,"Yes",33,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Masvingo",1371,952,"30-34",1249,24,NA,"Currently married/in union",4,4,0,"Primary",0.883890843367161,-0.471843046028514,3,NA,NA,0.190838917494936,4
